,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
0,68008.77585790325,182.06545570887866,20.649304533814256,611.5543356312891,1.0651633682567214e+28,249725764.09578934,86.55593517301466,121.23064131492576,140929.02519321357,553352864.4307901,1088508011.518099,-2170.5647998099766,67519.38,0.30217466512444774,124.26056034798206,55.34652783134103,-0.5355116643380886,2.480894005836207,-3.30863877544866,-0.6099316001626238,-0.44860062027914505,0.5083370725771893,-1.5054397788907439,2250060975.035513,9983.188387140728,63.98566745060136,-1.0996239101984986,-0.03582294935055344,0.3238946524816068,65541577285.40887,167.00743912303645,1756.307456608465,-0.6135096582268293,6.484304435480409,11147.45763508336,22.932488665820642
1,60140.463721925786,165.15060960986878,20.39142840312745,547.3703326830232,1.5680392815155487e+26,224807323.82755867,85.0268915223339,109.61935196300414,135189.50971022886,478628774.2787029,930037641.9398179,-3414.2909284949774,60386.24,0.06856029716566982,63.65243622899823,24.86093006619656,-0.9575675101100439,1.4553963020916934,-3.5492795338483125,-1.0167443491040913,-0.8795648910943595,-0.4022592999973042,-1.9715878792874397,30391482.142688755,8970.181091264047,60.93111295888534,-1.2975033083830405,-0.0501413460416343,0.2179426086412873,58980264793.48026,71.63270387588672,1329.2155463427764,-0.7506754468648458,5.960718918001519,5340.943491231266,20.503138039631757
2,47502.828609855715,127.4614166185414,19.628264645646226,430.08617426818864,1.075691435801811e+25,162573706.95630047,82.87820263768782,88.07460188772802,123110.46391630247,341228152.60795516,676103133.8177004,-4897.896363913258,49540.3,0.044814988122603705,29.938491853201796,17.694828402024697,-1.4589164354925588,0.9992425418998049,-3.6605525146883293,-1.361796371445415,-1.5969483495962526,-0.7106652985801987,-2.2266816007435053,1485568.4337810436,6884.187626350015,56.82360852825909,-1.4078989064864504,-0.10625160754905412,0.16431620510266395,45572356781.11015,37.082481493919865,1015.6626481766783,-0.8326360283104034,4.865523665652072,4331.022078322316,17.587375864154627
3,36773.80386929125,88.42618110793661,18.48743603656881,317.2130348169338,1.9829106521359465e+23,99464665.99681085,80.31874330393471,59.15424090751107,121121.41858071204,193855243.03946128,382906328.3143646,-5625.672499598798,35975.64,0.036102702093573656,15.2196511103766,14.863877924561704,-1.933693327475508,0.7695771848209781,-3.705838976678528,-1.6808500016010768,-2.16664830701009,-0.8241303900086635,-2.382406439625663,220838.38638554365,5183.334777677608,51.048991290263146,-1.4885842171689836,-0.19006479720345176,0.13803703135022413,33537944435.166744,19.507187561383816,749.2144372709757,-0.863199094458218,3.6241696746426966,3508.911774475891,15.778307002747432
4,29311.27689774609,72.77713077328367,17.48448786209606,227.5269884496641,7.038984057929449e+22,62408864.00315667,78.8385659710402,38.147592231486236,118519.14468272442,120218556.86005089,252392837.0380575,-6252.018073011265,27798.16,0.028605566160633415,13.389079328103605,13.775590922335946,-2.5189663946159726,0.697215375214267,-3.7253873304754217,-2.102339629463421,-2.7738402397223245,-0.889513117510935,-2.4815755108944977,11749.983744772511,4111.543794058832,47.922146368608516,-1.5264534621056547,-0.2615676375814648,0.12097814461452672,26690121463.807114,10.915961283234047,565.7956019135258,-0.8787137516740039,2.7130023731856694,3045.021459531969,13.671930407038333
5,23354.58079933951,56.07782023413051,16.86240415732897,175.8637600862932,2.2998607015749524e+21,44250831.66161414,77.57087245617417,23.74660675245463,117347.56445407646,64355519.680330746,170795667.28392324,-6756.1815973957655,21126.86,0.02313640239442849,12.439445920206033,12.823659119911083,-3.1671828237871393,0.6528115542750917,-3.7403496231718365,-2.460193519468261,-3.2357175772259628,-0.9294888325909851,-2.5540773500462643,3973.6089429094277,3289.1422701354722,43.42395636646621,-1.574743418882694,-0.3677863989535155,0.10429323936437437,21456842238.696964,5.152814331396614,425.57806736035724,-0.8890258377504057,1.890256044537484,2699.2280262588592,11.656355123955871
6,17765.044147653738,45.50104242147878,15.708291611715326,134.46704951599497,3.523223651591999e+20,30907351.371324796,76.49952034444217,17.49023286146646,117017.0553211313,40304111.08762031,116730234.71973288,-7116.015490368511,16742.26,0.01866902635055858,11.641440337849467,11.600451996023816,-3.566625930838665,0.6223778611115766,-3.7479467525429566,-2.7271276837551772,-3.584963799964886,-0.9566461440648153,-2.608249946892591,767.7117310644749,2466.8768605576975,40.325399139002265,-1.5995972651115629,-0.46687819587586504,0.08891158980508479,16892743594.600624,3.1781334997208135,337.0445430810455,-0.8993984565620433,1.267129727457815,2482.316732106839,10.525574512769165
7,14014.048851167956,35.3183662366448,14.483749967499886,103.42449212528882,2.3868775374595768e+20,20839613.02052394,75.59341792288906,12.876092362629059,116616.48173181493,23929385.997390293,79785182.3449369,-7735.635160127867,12637.04,0.015490069113302696,9.43616683299089,10.771236756661551,-3.9753935780848844,0.5989828098868328,-3.770685235296872,-2.883946868425614,-3.85370816651157,-0.9834256314274991,-2.6751235298170997,630.6509590382249,1939.2234802183555,36.64637103094363,-1.6139018379673473,-0.5564805933052456,0.07081049867620118,13228770542.964293,2.1085839971946676,251.7995754715031,-0.9063245558899371,0.7607161609426637,2345.1205649170843,9.533963351854602
8,11346.509690458344,26.779873821536818,13.312433721440916,81.94067847552364,2.2491446510602446e+20,13212531.783575056,74.95717168554208,8.7810788339327,116427.62562469393,14114499.428396333,53356600.610251494,-8011.445852441634,9743.26,0.011894545199554955,9.109684528240297,10.418951163466275,-4.440128713949539,0.5817229325312625,-3.7755549361218823,-3.18841958926043,-4.09532902093824,-0.998638141087165,-2.7201274526918438,567.644241049554,1462.853915652037,32.27795294609682,-1.652225081518089,-0.6488981091279215,0.06211379967739791,10156804766.779078,1.2286405780702603,191.62066135944266,-0.9154693206310677,0.28233499169411597,2217.1733832170066,8.340067672692832
9,8633.605854966014,20.978347196236545,12.271452545670936,65.03427314644946,2.2491138767071655e+20,8959260.985929705,74.30170444061858,6.555284144927759,116117.78836703926,7386261.866640912,37853574.76343937,-8249.02105456311,7416.06,0.010501587032726386,8.82705464083957,10.316523289765744,-4.674854803202122,0.5758934198274176,-3.7775195638092067,-3.572270574942506,-4.232846021288561,-1.0114848348025147,-2.7684225662137867,558.7399871845056,1173.6858352770175,30.487323701269858,-1.6675956072359281,-0.7193933537968465,0.05498664413593513,7285334628.120226,0.9481201378468707,155.684830777794,-0.9194097710261786,-0.1493425064905305,2103.0028924189137,7.126388786299125
10,6730.385927694561,17.390325716962437,11.473191861716005,51.09869570113866,6364893818789651.0,6609357.507368815,73.74745208391319,4.3619098432940975,115938.68777986655,5141542.703217426,26336702.690622535,-8400.780024720387,5691.22,0.009754704887406474,8.632738104313043,9.53623061706537,-4.876725748595579,0.5645006003167005,-3.779018317158889,-3.752222488548024,-4.3985379149377914,-1.019044517613036,-2.811619706902802,532.7712545854794,851.1463323877747,28.103479113427184,-1.6882054018742187,-0.7727600170970627,0.04448222034894836,5818897422.256253,0.7034616905783495,122.1601725470269,-0.925745877255222,-0.4927958933627706,2023.3536970574935,6.027611103142769
11,5247.130380644058,13.727812318488436,10.743444806152523,41.90255697869061,1463438308055.5222,4686680.986872763,73.05934027312588,3.156052678702746,115747.30315144364,3062153.3116274215,15094545.260471214,-8563.658008378592,4505.44,0.008626906179742915,8.317002306924143,9.453800584108336,-4.992780474326558,0.5517451977512841,-3.7822104278415396,-3.9463569785469645,-4.609569553672869,-1.0227971142335235,-2.837333541150134,531.1851838958297,681.3915579292271,26.488776439522056,-1.6980713144200477,-0.815822183926975,0.0403106220309206,4457640873.013959,0.5973354165746109,98.72747364736277,-0.9312160652549727,-0.8680311871018087,1955.0412628378942,5.40649094521273
